study_hours,previous_score,attendance,sleep_hours,assignments_done,final_score
1.5,40,60,5,3,38
2.0,45,65,6,4,44
2.5,50,70,6,5,50
3.0,55,72,7,5,55
3.5,58,75,7,6,59
4.0,60,78,7,6,63
4.5,62,80,8,7,67
5.0,65,82,8,7,70
5.5,68,84,8,8,74
6.0,70,85,8,8,77
6.5,72,87,9,9,80
7.0,75,88,9,9,83
7.5,78,90,9,10,86
8.0,80,92,9,10,88
8.5,82,93,10,10,90
9.0,85,95,10,10,93
9.5,88,96,10,10,95
10.0,90,98,10,10,97
1.0,35,55,5,2,33
2.8,52,68,6,5,52
3.2,57,74,7,6,57
4.8,63,81,8,7,68
5.8,69,83,8,8,73
6.8,73,89,9,9,81
7.8,79,91,9,10,87
8.8,84,94,10,10,92
1.2,38,58,5,3,36
2.2,47,66,6,4,46
3.8,59,77,7,6,61
4.2,61,79,8,7,65
5.2,66,83,8,8,71
6.2,71,86,9,9,78
7.2,76,89,9,9,84
8.2,81,93,10,10,89
9.2,87,97,10,10,94
1.8,43,63,6,4,42
2.6,51,69,6,5,51
4.6,62,80,8,7,66
5.6,67,82,8,8,72
6.6,72,87,9,9,80
7.6,77,90,9,10,85
